"Digit","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
5,89.5283762928434,-106.190901367979,116.930691839189,-831.675679019776,786.252971081869,-179.685286518482,519.821546148839,341.588547529436,-109.617612614347,188.110594341492,-164.169790958247
5,-748.043702698162,-311.43441128505,796.388612472811,509.504512515436,-70.677465155175,-80.4764174193487,-268.442933398794,-93.0794326691806,540.156403516674,346.004265677705,-18.8139384020904
5,-439.294346627198,528.709355532083,-57.7834328588865,-37.9548775551691,703.045004846724,161.269003211069,270.278335475448,191.705377680684,105.523698006591,-202.191245849618,351.529140142614
5,-725.933879110235,110.344416007287,35.5433589282404,242.594484222871,285.249931141563,227.981899976799,364.884433154684,-403.252162523678,180.223646680366,-48.47776852757,266.642203977673
5,-104.566695862674,476.74467454479,-200.418219828126,-604.111738336399,290.65677338704,526.884325606969,-150.969893400405,-106.886543923392,465.849821182711,-173.15891848895,395.526550849458
5,-510.874824104677,-484.044786722685,846.328782288977,451.184291462845,-26.1240123074939,-75.2444354117254,-460.619467013413,-160.47840750856,124.331609927238,432.652290722725,120.35401736069
5,31.2428638144176,613.082763552784,1043.94480197474,-71.5560639972646,181.604441650506,424.272173983645,-222.923769188561,-205.718312863115,271.397070041736,-46.5413536368292,-11.1089274936473
5,-473.522232666592,-98.5829530384939,-412.857612296018,-395.437213130587,359.926344161135,169.653384663314,-225.890187084657,-568.334429653348,-594.089308258873,209.374899180962,63.4786385342415
5,-927.147944818738,-612.325919706401,-656.919421544965,-213.679857212844,-19.8978549807517,-188.867215572041,-336.633835574718,268.109531083305,-352.12746413651,26.3092339909988,295.023174273425
5,-162.12218555133,586.745728193899,-550.079391676698,-405.195418536453,555.598247677094,56.4305637322515,-525.080009688447,-49.3615248458009,333.427453229443,253.672458347286,-110.20530559874
5,-370.162236566732,564.108441275692,-489.711185182809,-187.73376331441,671.59527959536,47.4974550887295,-66.6002009572224,-37.3623382308096,-164.307026200752,-4.85540454295211,167.290213470815
5,-1229.51596122729,-530.163220718686,-482.64930362525,-44.8555485146756,-278.049831446601,-265.363326862969,159.594724739827,512.904220302506,-230.858130591801,-243.60210731958,77.0206059687425
5,61.5954253709155,899.399935768158,374.810556125318,-500.680628834195,412.253535387562,-72.386757877123,-390.855077691173,-137.591301353682,212.002947850174,-199.170434777918,49.4914491929811
5,-685.622394345,-173.605575134389,46.1524306204137,165.60282370175,272.976340060309,124.952350381685,225.855865002334,-214.99966146436,-212.618736458561,-239.535281406736,-27.1144373745624
5,-428.350031680696,760.496519214151,-612.628412495772,-384.662545106698,79.9918000993742,-37.1980490713264,187.522318507184,443.350923236719,-169.902621163787,161.32838192518,473.936721882415
5,-1034.89585973787,-19.4132304477668,-914.43500627592,-390.740047593397,475.596591146252,97.3937675840652,-260.414566309564,96.3744539192914,-222.148244790601,-19.2733670513594,-290.618067648287
